,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
United Nations,,,,,,,
Population Division,,,,,,,
Department of Economic and Social Affairs,,,,,,,
,,,,,,,
World Population Prospects 2019,,,,,,,
"File POP/1-1: Total population (both sexes combined) by region, subregion and country, annually for 1950-2100 (thousands)",,,,,,,
"Estimates, 1950 - 2020",,,,,,,
POP/DB/WPP/Rev.2019/POP/F01-1,,,,,,,
"© August 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects 2019, Online Edition. Rev. 1.",,,,,,,
,,,,,,,
,,,,,,,"Total population, both sexes combined, as of 1 July (thousands)"
Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,2020
187,Estimates,South America,,931,Subregion,1830,  430 760
188,Estimates,Argentina,,32,Country/Area,931,  45 196
189,Estimates,Bolivia (Plurinational State of),,68,Country/Area,931,  11 673
190,Estimates,Brazil,,76,Country/Area,931,  212 559
191,Estimates,Chile,,152,Country/Area,931,  19 116
192,Estimates,Colombia,,170,Country/Area,931,  50 883
193,Estimates,Ecuador,,218,Country/Area,931,  17 643
194,Estimates,Falkland Islands (Malvinas),17,238,Country/Area,931,   3
195,Estimates,French Guiana,2,254,Country/Area,931,   299
196,Estimates,Guyana,,328,Country/Area,931,   787
197,Estimates,Paraguay,,600,Country/Area,931,  7 133
198,Estimates,Peru,,604,Country/Area,931,  32 972
199,Estimates,Suriname,,740,Country/Area,931,   587
200,Estimates,Uruguay,,858,Country/Area,931,  3 474
201,Estimates,Venezuela (Bolivarian Republic of),,862,Country/Area,931,  28 436
