"Params","coefs","2.5 %","97.5 %"
"ar.log(pop)","0.962","0.083","0.985"
"ar.HDI_cat","4.258","0.924","1.001"
"ar.sindex_lag","1.014","0.848","21.3"
"ar.testing_lag","0.992","0.968","1.062"
"ar.vax_lag","0.997","0.905","1.088"
"ar.ri(iid)","0.285","0.994","1"
"ne.HDI_cat","1470388.713","0","Inf"
"ne.sindex_lag","0.739","0","6.72686063295654e+110"
"ne.testing_lag","0","0.066","8.243"
"ne.vax_lag","1.182","0","Inf"
"ne.ri(iid)","256457545775.322","0.992","1.409"
"end.1","2214.638","745.853","6562.518"
"neweights.d","58.164","NaN","Inf"
"overdisp","0.636","-0.539","-0.373"
"","","",""
"AIC",NA,"",""
"","","",""
"logs","rps","dss","ses"
"8.877","2746.936","15.854","45925251.409"
